Point,raw,averaged
1655,323,322
1656,319,318
1657,321,320
1658,319,317
1659,317,318
1660,319,319
1661,318,318
1662,321,318
1663,315,315
1664,318,317
1665,314,314
1666,319,318
1667,313,312
1668,315,315
1669,312,311
1670,315,314
1671,313,311
1672,315,315
1673,314,312
1674,314,313
1675,310,311
1676,312,311
1677,310,310
1678,309,309
1679,311,312
1680,309,310
1681,315,314
1682,313,311
1683,316,316
1684,314,314
1685,316,317
1686,316,316
1687,321,321
1688,320,320
1689,321,322
1690,322,320
1691,323,323
1692,325,324
1693,323,323
1694,324,324
1695,322,322
1696,328,326
1697,319,320
1698,325,324
1699,321,320
1700,325,323
1701,320,318
1702,321,322
1703,319,317
1704,319,319
1705,317,316
1706,316,318
1707,321,319
1708,315,316
1709,320,319
1710,317,316
1711,317,318
1712,313,313
1713,316,317
1714,313,313
1715,315,315
1716,312,311
1717,315,314
1718,310,310
1719,312,312
1720,312,310
1721,308,308
1722,311,309
1723,311,310
1724,311,310
1725,306,306
1726,309,309
1727,305,306
1728,311,309
1729,306,304
1730,308,309
1731,307,306
1732,309,310
1733,305,306
1734,310,310
1735,308,308
1736,308,309
1737,309,309
1738,309,309
1739,311,311
1740,310,310
1741,316,315
1742,313,312
1743,318,318
1744,314,315
1745,321,320
1746,316,316
1747,318,319
1748,318,317
1749,319,318
1750,317,316
1751,316,316
1752,319,317
1753,316,315
1754,318,316
1755,314,314
1756,318,317
1757,316,314
1758,317,316
1759,314,313
1760,318,317
1761,313,313
1762,317,316
1763,313,312
1764,314,316
1765,313,313
1766,314,315
1767,314,314
1768,313,314
1769,318,316
1770,313,314
1771,316,316
1772,310,311
1773,315,316
1774,312,312
1775,313,314
1776,313,312
1777,316,315
1778,311,311
1779,314,315
1780,312,312
1781,311,313
1782,313,312
1783,313,311
1784,311,311
1785,308,308
1786,312,312
1787,309,310
1788,314,314
1789,312,312
1790,316,317
1791,316,316
1792,320,320
1793,319,318
1794,321,321
1795,321,321
1796,323,323
1797,322,322
1798,323,322
1799,323,322
1800,322,322
1801,325,324
1802,322,321
1803,325,324
1804,321,321
1805,325,325
1806,322,321
1807,326,324
1808,320,319
1809,321,321
1810,317,317
1811,322,320
1812,319,317
1813,318,318
1814,320,318
1815,313,312
1816,316,315
1817,313,311
1818,315,315
1819,312,312
1820,319,318
1821,314,312
1822,314,315
1823,311,311
1824,314,315
1825,313,312
1826,312,313
1827,312,312
1828,312,313
1829,315,314
1830,314,313
1831,319,317
1832,314,313
1833,319,319
1834,314,313
1835,316,316
1836,312,311
1837,316,315
1838,311,310
1839,314,314
1840,312,312
1841,314,314
1842,312,311
1843,313,312
1844,313,312
1845,311,311
1846,312,311
1847,308,309
1848,312,311
1849,308,308
1850,313,311
1851,311,309
1852,314,312
1853,308,308
1854,311,310
1855,309,307
1856,311,310
1857,310,308
1858,309,309
1859,310,309
1860,312,310
1861,312,311
1862,309,310
1863,311,311
1864,307,307
1865,308,309
1866,304,304
1867,310,310
1868,305,305
1869,310,309
1870,309,307
1871,310,309
1872,307,305
1873,306,307
1874,307,306
1875,306,307
1876,308,308
1877,305,306
1878,310,309
1879,307,307
1880,311,310
1881,308,309
1882,314,313
1883,310,309
1884,313,312
1885,311,310
1886,314,315
1887,313,313
1888,313,314
1889,304,300
1890,289,287
1891,281,279
1892,269,269
1893,264,262
1894,254,254
1895,251,250
1896,240,238
1897,238,236
1898,228,228
1899,230,230
1900,228,227
1901,235,236
1902,236,237
1903,239,241
1904,243,243
1905,246,247
1906,251,250
1907,250,251
1908,254,256
1909,257,256
1910,263,262
1911,261,261
1912,269,268
1913,268,267
1914,273,272
1915,274,272
1916,281,279
1917,282,281
1918,286,287
1919,290,289
1920,293,293
1921,299,298
1922,300,301
1923,308,307
1924,306,308
1925,316,316
1926,317,318
1927,328,327
1928,327,327
1929,335,334
1930,334,335
1931,341,342
1932,344,344
1933,349,350
1934,351,351
1935,354,356
1936,355,354
1937,357,356
1938,358,358
1939,356,357
1940,362,361
1941,358,358
1942,362,362
1943,360,359
1944,365,364
1945,362,360
1946,363,362
1947,362,360
1948,364,363
1949,362,361
1950,365,366
1951,365,364
1952,366,366
1953,369,367
1954,365,365
1955,369,367
1956,363,362
